ArtikelNummer,Omschrijving,Plato,AlcoholGraad,Eenheid,PrijsInEuroExclusiefTaksen
1006552,Uiltje Ransuil,23,10.5,24/33cl,47.76
1010251,Uiltje Rice Rice Baby 24/33cl,19.5,8,24/33cl,39.21
1006707,Uiltje Schreeuwuil,20,9,24/33cl,48.3
1010634,Uiltje Sequence Series Barrel Ferment #001 12/50cl,18,7.6,12/50cl,33.53
1010109,Uiltje Sgt. Nightvision 24/33cl,24,10.5,24/33cl,44.28
1009789,Uiltje Sir Turnaround 24/33cl,13,5.5,24/33cl,32.72
1006708,Uiltje Smoking Pils,12.5,5.5,24/33cl,41.43
1008589,Uiltje Spray Tan Gone Wrong,15,6.5,24/33cl,48.76
1006553,Uiltje Steenuil,20,9,24/33cl,51.39
1010462,Uiltje The Juice Was Worth To Squeeze 24/33cl,14.9,6.2,24/33cl,42.29
1008040,Uiltje The Most Wond Time For Beer,23,10,24/33cl,64.1
1006554,Uiltje Uil Pale Ale,15.1,6.8,24/33cl,40.31
1006709,Uiltje Upa,15,6.8,24/33cl,43.69
1006551,Uiltje Velduil,11.1,4.5,24/33cl,33.5
1007073,Upright Five,14,5.5,12/75cl,100.97
1007277,Upright Six,15,6.7,12/75cl,97.23
1007888,Van Moll Ons Blackie,20.5,9,24/33cl,45.56
1010273,VredesGijt 24/33cl,16,6.8,24/33cl,31.85
1002533,Watney's scotch ale 24/25cl,18.7,8,24/25cl,23.12
1007031,Watt Dickie Brewdog,30,20,60ml,6.5
1003875,Weihenstephan weisse 20/50cl,12,5.4,20/50cl,16.27
1010915,Westbrook Brewing Mexican Cake 2017 12/65cl,20,10.5,12/65cl,120.22
1010327,Westbrook Brewing Siberian Black Magic Panther 12/,25,12,12/65cl,95.29
1007896,Weyerbacher Old Heathen,14.5,8,"24/35,5cl",51.81
1007895,Weyerbacher Tiny,23,11.8,12/75cl,97.82
1001665,White Pony Altruism 24/33cl,16,6.6,24/33cl,23.9
1001694,White Pony Ambra (Brandy) 24/33cl,17.5,7,24/33cl,50.06
1007748,White Pony Ankles Breaker,23,11.5,24/33cl,54.66
1008875,White Pony Atheist,17,7.3,24/33cl,37.02
1007386,White Pony Autonomy Lost,21,9.5,24/33cl,45.45
1006300,White Pony Black Sheep 24/33cl,25,10,24/33cl,39.8
1009602,White Pony Blend The Darkness 24/33cl,23,10,24/33cl,84.18
1008874,White Pony Bunga Bunga,15,6.5,24/33cl,36.98
1004870,White Pony Dark Signs 24/33cl,16,13.1,24/33cl,26.66
1006302,White Pony Dark Signs BA Sassicaia 24/33cl,20,13.1,24/33cl,63.37
1007749,White Pony Death is Life,30,11,24/33cl,49.88
1006299,White Pony December Flower 24/33cl,20,13,24/33cl,28.87
1006301,White Pony Nasty Whitesnow 24/33cl,18,9.1,24/33cl,26.39
1001731,White Pony Of Solitude And Sadness 24/33cl,16,6.5,24/33cl,24.1
1009603,White Pony Of Solitude And Sadness 24/33cl,25,12.5,24/33cl,73.12
1007385,White Pony Ride This Pony BA blend,22,11,24/33cl,67.82
1009601,White Pony Sour The System 12/37.5cl,16,6.5,12/37.5cl,56.35
1009958,White Pony Stand & Fight 24/33cl,24,10.5,24/33cl,51.97
1008872,White Pony Strongest BA Brandy,32,15.1,24/33cl,84.51
1008873,White Pony Strongest BA Calvados,32,15.1,24/33cl,84.51
1008871,White Pony Strongest BA Speyside,32,15.1,24/33cl,79.21
